Row Labels,OJ,Grand Total,day of week,numerical,weekend,# of Boxes,Rounded # of Boxes,,
3/11/2017,92,92,Saturday,6,1,3.833333333,4,,
3/13/2017,58,58,Monday,1,0,2.416666667,2,,
3/14/2017,52,52,Tuesday,2,0,2.166666667,2,,
3/15/2017,65,65,Wednesday,3,0,2.708333333,3,,
3/16/2017,49,49,Thursday,4,0,2.041666667,2,,
3/17/2017,58,58,Friday,5,1,2.416666667,2,,
3/18/2017,87,87,Saturday,6,1,3.625,4,,
3/20/2017,50,50,Monday,1,0,2.083333333,2,,
3/21/2017,62,62,Tuesday,2,0,2.583333333,3,,
3/22/2017,53,53,Wednesday,3,0,2.208333333,2,,
3/23/2017,58,58,Thursday,4,0,2.416666667,2,,
3/24/2017,67,67,Friday,5,1,2.791666667,3,,
3/25/2017,84,84,Saturday,6,1,3.5,4,,
3/27/2017,38,38,Monday,1,0,1.583333333,2,,
3/28/2017,42,42,Tuesday,2,0,1.75,2,,
3/29/2017,39,39,Wednesday,3,0,1.625,2,,
3/30/2017,70,70,Thursday,4,0,2.916666667,3,,
3/31/2017,63,63,Friday,5,1,2.625,3,,
4/1/2017,88,88,Saturday,6,1,3.666666667,4,,
4/3/2017,37,37,Monday,1,0,1.541666667,2,,
4/4/2017,33,33,Tuesday,2,0,1.375,1,,
4/5/2017,37,37,Wednesday,3,0,1.541666667,2,,
4/6/2017,33,33,Thursday,4,0,1.375,1,,
4/7/2017,38,38,Friday,5,1,1.583333333,2,,
4/8/2017,60,60,Saturday,6,1,2.5,3,,
4/10/2017,33,33,Monday,1,0,1.375,1,,
4/11/2017,34,34,Tuesday,2,0,1.416666667,1,,
4/12/2017,61,61,Wednesday,3,0,2.541666667,3,,
